"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-01","0.18",,"53","57","48"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-02","0.33",,"42","44","38"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-03","0.05",,"38","42","38"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-04","0.00",,"36","50","28"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-05","0.03",,"47","54","29"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-06","0.04",,"43","48","38"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-07","0.27",,"48","54","38"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-08","0.10",,"44","51","39"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-09","0.28",,"51","59","40"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-10","0.00",,"44","42","40"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-11","0.11",,"41","50","35"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-12","0.00",,"44","45","40"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-13","0.00",,"36","40","35"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-14","0.25",,"39","51","32"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-15","0.15",,"40","42","34"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-16","0.00",,"35","38","34"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-17","0.00",,"35","40","33"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-18","0.00","0.4","34","41","30"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-19","0.00",,"31","39","24"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-20","0.06",,"38","40","25"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-21","0.00",,"35","40","34"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-22","0.00",,"35","46","32"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-23","0.09",,"44","51","30"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-24","0.00",,"38","47","33"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-25","0.06",,"47","53","34"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-26","0.00",,"42","45","38"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-27","0.05",,"43","49","38"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-28","0.02",,"40","40","36"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-29","0.22",,"35","40","34"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-30","0.00",,"38","44","33"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-01-31","0.00",,"36","41","34"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-01","0.00",,"33","40","29"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-02","0.00",,"31","40","28"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-03","0.00",,"30","41","22"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-04","0.00",,"32","42","23"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-05","0.00",,"39","46","26"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-06","0.00",,"40","43","35"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-07","0.00",,"41","46","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-08","0.00",,"33","36","28"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-09","0.00",,"37","41","31"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-10","0.00",,"37","41","35"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-11","0.00",,"39","43","33"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-12","0.01",,"41","47","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-13","0.11",,"43","48","39"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-14","0.00",,"43","50","38"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-15","0.24",,"41","51","32"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-16","0.00",,"40","46","39"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-17","0.00",,"40","50","32"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-18","0.04",,"49","55","40"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-19","0.09",,"44","48","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-20","0.00",,"37","44","34"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-21","0.02",,"36","45","33"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-02-22","0.18",,"41","52","33"
